location,lon,lat
"Игра, Удмуртия",53.0694,57.5421
"Сорочинск, Оренбургская область",53.1557,52.4243
"Вольск, Саратовская область",47.3692,52.0497
"Курумоч, Самарская область",50.0351,53.4881
"Тихорецк, Краснодарский край",40.1051,45.8677
"Павлово, Нижегородская область",43.0912,55.9621
"Грушевская, Ростовская область",39.9538,47.4387
"Белово, Кемеровская область",86.2937,54.4103
"Лениногорск, Татарстан",52.4607,54.6013
"Шебекино, Белгородская область",36.8948,50.4119
"Белая Калитва, Ростовская область",40.7795,48.1773
"Рощинский, Самарская область",50.4926,53.0515
"Усолье-Сибирское, Иркутская область",103.6382,52.7664
"Борисоглебск, Воронежская область",42.0735,51.3761
"Саянск, Иркутская область",102.1889,54.1065
"Гулькевичи, Краснодарский край",40.7019,45.3606
"Сосновоборск, Красноярский край",93.3401,56.1232
"Балашов, Саратовская область",43.1771,51.5432
"Крымск, Краснодарский край",37.9932,44.9278
"Южноуральск, Челябинская область",61.2606,54.4421
"Кыштым, Челябинская область",60.5521,55.7175
"Лобаново, Пермский край",56.2867,57.8632
"Урюпинск, Волгоградская область",42.0056,50.7974
"Михайловск, Ставропольский край",42.0092,45.1287
"Александров, Владимирская область",38.712,56.3947
"Шипуново, Алтайский край",82.2691,52.2255
"Левокумское, Ставропольский край",44.6636,44.8192
"Ильинская, Краснодарский край",40.725,45.7224
"Междуреченск, Кемеровская область",88.0814,53.6836
"Усть-Лабинск, Краснодарский край",39.6907,45.2159
"Мензелинск, Татарстан",53.1063,55.7246
"Лысьва, Пермский край",57.7889,58.1072
"Оса, Пермский край",55.4543,57.2841
"Ершов, Саратовская область",48.2762,51.3494
"Киселевск, Кемеровская область",86.6498,54.0055
"Киреевск, Тульская область",37.9256,53.9355
"Ревда, Свердловская область",59.9036,56.8188
"Орск, Оренбургская область",58.5441,51.2145
"Полевской, Свердловская область",60.2446,56.4825
"Узловая, Тульская область",38.1667,53.979
"Россошь, Воронежская область",39.5885,50.2023
"Троицкое, Алтайский край",84.6818,52.9809
"Ленинск-Кузнецкий, Кемеровская область",86.1735,54.6699
"Кольчугино, Владимирская область",39.3701,56.2984
"Лесной, Свердловская область",59.7833,58.6333
"Краснотурьинск, Свердловская область",60.2159,59.7651
"Саянский, Красноярский край",94.7255,55.5614
"Алексеевка, Белгородская область",38.6978,50.6257
"Юрюзань, Челябинская область",58.4244,54.8586
"Заволжье, Нижегородская область",43.4029,56.6416
"Нефтекумск, Ставропольский край",44.9884,44.7504
"Новокорсунская, Краснодарский край",39.1509,45.6409
"Голышманово, Тюменская область",68.6022,56.4661
"Безопасное, Ставропольский край",41.9502,45.6386
"Зверево, Ростовская область",40.1208,48.0219
"Средний, Иркутская область",103.5,52.8833
"Чайковский, Пермский край",54.1277,56.7661
"Гагино, Нижегородская область",45.0224,55.2286
"Северская, Краснодарский край",38.677,44.8529
"Белорецк, Башкортостан",58.4061,53.9674
"Ленинградская, Краснодарский край",39.3809,46.3267
"Багратионовск, Калининградская область",20.6466,54.3841
"Новошахтинск, Ростовская область",39.9358,47.7569
"Клетская, Волгоградская область",43.0542,49.3069
"Лиски, Воронежская область",39.4941,50.9797
"Ирбит, Свердловская область",63.0632,57.668
"Ахтырский, Краснодарский край",38.2948,44.8527
"Кумертау, Башкортостан",55.8116,52.7637
"Можга, Удмуртия",52.2117,56.438
"Рефтинский, Свердловская область",61.6718,57.0949
"Туапсе, Краснодарский край",39.0806,44.1065
"Венев, Тульская область",38.2583,54.3495
"Назарово, Красноярский край",90.4026,56.0132
"Сарапул, Удмуртия",53.7834,56.4521
"Югорск, Ханты-Мансийский АО",63.343,61.3138
"Лянтор, Ханты-Мансийский АО",72.1645,61.6213
"Новоуральск, Свердловская область",60.0834,57.2575
"Красные Баки, Нижегородская область",45.1493,57.1261
"Батайск, Ростовская область",39.7378,47.1398
"Киржач, Владимирская область",38.8636,56.1592
"Кудымкар, Пермский край",54.6644,59.007
"Тара, Омская область",74.3759,56.8857
"Лабинск, Краснодарский край",40.7471,44.6237
"Юрьев-Польский, Владимирская область",39.6794,56.5006
"Усть-Кут, Иркутская область",105.7769,56.791
"Аша, Челябинская область",57.2734,54.9891
"Будённовск, Ставропольский край",44.1536,44.7925
"Ефремов, Тульская область",38.0937,53.1494
"Фролово, Волгоградская область",43.6592,49.759
"Медведовская, Краснодарский край",39.0117,45.4533
"Гремячинск, Пермский край",57.8344,58.5484
"Коркино, Челябинская область",61.368,54.901
"Джалиль, Татарстан",52.7359,55.0237
"Добрянка, Пермский край",56.4232,58.4705
"Белебей, Башкортостан",54.1046,54.1103
"Каратузское, Красноярский край",92.8725,53.605
"Артемовский, Свердловская область",61.8783,57.339
"Первомайск, Нижегородская область",43.8014,54.8719
"Ипатово, Ставропольский край",42.9035,45.7205
"Мостовской, Краснодарский край",40.795,44.4099
"Плавск, Тульская область",37.2921,53.7111
"Барабинск, Новосибирская область",78.3467,55.3464
"Чунский, Иркутская область",99.6376,56.0791
"Карабаново, Владимирская область",38.7008,56.309
"Балахна, Нижегородская область",43.5819,56.517
"Бутурлиновка, Воронежская область",40.6024,50.833
"Константиновский, Ярославская область",39.6159,57.8215
"Снежинск, Челябинская область",60.7544,56.0572
"Собинка, Владимирская область",40.0182,55.9886
"Отрадный, Самарская область",51.3402,53.377
"Зима, Иркутская область",102.0424,53.9226
"Кировград, Свердловская область",60.0706,57.4161
"Курганинск, Краснодарский край",40.5862,44.886
"Калач, Воронежская область",41.0034,50.4203
"Чернушка, Пермский край",56.0837,56.5069
"Брюховецкая, Краснодарский край",38.9934,45.8067
"Новодмитриевская, Краснодарский край",38.8764,44.8354
"Семикаракорск, Ростовская область",40.814,47.5156
"Советский, Ханты-Мансийский АО",63.5639,61.3603
"Раевский, Башкортостан",54.9326,54.0657
"Саров, Нижегородская область",43.3253,54.9343
"Лесосибирск, Красноярский край",92.496,58.2276
"Менделеевск, Татарстан",52.2938,55.8992
"Частые, Пермский край",54.953,57.2936
"Табуны, Алтайский край",78.8089,52.775
"Агаповка, Челябинская область",59.1414,53.3028
"Сальск, Ростовская область",41.5372,46.4807
"Пионерский, Калининградская область",20.2216,54.9429
"Арзгир, Ставропольский край",44.2245,45.371
"Морозовск, Ростовская область",41.8265,48.3451
"Осинники, Кемеровская область",87.3381,53.6315
"Белоярский, Свердловская область",61.3742,56.7568
"Нижняя Салда, Свердловская область",60.7336,58.0726
"Донецк, Ростовская область",39.9654,48.3322
"Черняховск, Калининградская область",21.8311,54.6313
"Петровск, Саратовская область",45.3883,52.3144
"Заинск, Татарстан",52.0131,55.2898
"Пыть-Ях, Ханты-Мансийский АО",72.8212,60.7274
"Шахунья, Нижегородская область",46.6107,57.6735
"Озерки, Алтайский край",83.7065,53.626
"Старотитаровская, Краснодарский край",37.1544,45.2072
"Кагальницкая, Ростовская область",40.1462,46.8827
"Камень-на-Оби, Алтайский край",81.3135,53.7811
"Дегтярск, Свердловская область",60.1021,56.698
"Хвалынск, Саратовская область",48.0923,52.501
"Боголюбово, Владимирская область",40.5361,56.1969
"Верхний Услон, Татарстан",48.9835,55.7668
"Пугачев, Саратовская область",48.7993,52.0274
"Дудинка, Красноярский край",86.2003,69.4042
"Шарыпово, Красноярский край",89.2205,55.5223
"Шаркан, Удмуртия",53.8676,57.3015
"Староминская, Краснодарский край",39.0405,46.5333
"Соль-Илецк, Оренбургская область",54.9885,51.1646
"Новоминская, Краснодарский край",38.9635,46.3103
"Калининская, Краснодарский край",38.6544,45.4866
"Нурлат, Татарстан",50.8189,54.4192
"Балтийск, Калининградская область",19.9229,54.6591
"Дубовое, Белгородская область",36.5742,50.5335
"Пошехонье, Ярославская область",39.1422,58.5007
"Кормиловка, Омская область",74.0964,54.9983
"Ставрово, Владимирская область",40.0147,56.1304
"Апшеронск, Краснодарский край",39.7268,44.4654
"Октябрьское, Челябинская область",62.7238,54.4061
"Богданович, Свердловская область",62.0523,56.7743
"Хомутово, Иркутская область",104.4039,52.4726
"Натухаевская, Краснодарский край",37.5674,44.909
"Нижняя Тура, Свердловская область",59.8559,58.6277
"Железноводск, Ставропольский край",43.007,44.1404
"Сатка, Челябинская область",59.0083,55.0467
"Чкаловск, Нижегородская область",43.2419,56.7671
"Янаул, Башкортостан",54.9253,56.2675
"Хадыженск, Краснодарский край",39.5314,44.4187
"Подгоренский, Воронежская область",39.6438,50.4003
"Зирган, Башкортостан",55.9175,53.2274
"Степное, Саратовская область",46.8426,51.3773
"Красный Кут, Саратовская область",46.9709,50.9496
"Большая Черниговка, Самарская область",50.866,52.0971
"Лангепас, Ханты-Мансийский АО",75.1701,61.2703
"Радужный, Ханты-Мансийский АО",77.4754,62.1039
"Ртищево, Саратовская область",43.7814,52.2601
"Полысаево, Кемеровская область",86.276,54.6035
"Светлогорск, Калининградская область",20.1585,54.9395
"Тальменка, Алтайский край",83.5573,53.8194
"Суздаль, Владимирская область",40.4536,56.4192
"Миньяр, Челябинская область",57.551,55.0693
"Безенчук, Самарская область",49.4406,52.9831
"Камбарка, Удмуртия",54.2046,56.265
"Анапская, Краснодарский край",37.3895,44.8991
"Новосемейкино, Самарская область",50.3526,53.3741
"Маслова Пристань, Белгородская область",36.7413,50.4533
"Приобье, Ханты-Мансийский АО",65.6282,62.5466
"Калининск, Саратовская область",44.4836,51.5006
"Воротынец, Нижегородская область",45.855,56.0619
"Данилов, Ярославская область",40.1802,58.1846
"Болгар, Татарстан",49.0342,54.9671
"Зеленокумск, Ставропольский край",43.8736,44.4141
"Александровское, Ставропольский край",42.9979,44.7153
"Нягань, Ханты-Мансийский АО",65.3745,62.1293
"Шиханы, Саратовская область",47.2077,52.1174
"Черемхово, Иркутская область",103.094,53.1401
"Арск, Татарстан",49.8754,56.0889
"Ижморский, Кемеровская область",86.6236,56.1966
"Верхние Татышлы, Башкортостан",55.8522,56.295
"Тогучин, Новосибирская область",84.3975,55.2413
"Ольховка, Волгоградская область",44.556,49.8558
"Среднеуральск, Свердловская область",60.4701,56.9859
"Заречный, Свердловская область",61.3238,56.8058
"Урень, Нижегородская область",45.7931,57.4746
"Вешенская, Ростовская область",41.7147,49.6316
"Алапаевск, Свердловская область",61.688,57.8483
"Зеленогорск, Красноярский край",94.6139,56.1104
"Навашино, Нижегородская область",42.199,55.5448
"Белореченск, Краснодарский край",39.8817,44.7592
"Камышла, Самарская область",52.1346,54.1077
"Славгород, Алтайский край",78.6387,52.993
"Ялуторовск, Тюменская область",66.3059,56.6589
"Воронежская, Краснодарский край",39.5634,45.2173
"Светлый, Калининградская область",20.1265,54.6784
"Покров, Владимирская область",39.1784,55.9181
"Аксубаево, Татарстан",50.795,54.8464
"Бугуруслан, Оренбургская область",52.4332,53.6234
"Ивантеевка, Саратовская область",49.0997,52.2758
"Пестрецы, Татарстан",49.6486,55.7577
"Култук, Иркутская область",103.7082,51.7242
"Куйбышев, Новосибирская область",78.3114,55.4477
"Игрим, Ханты-Мансийский АО",64.4184,63.1908
"Орловский, Ростовская область",42.0318,46.8712
"Буинск, Татарстан",48.2787,54.9756
"Реж, Свердловская область",61.4222,57.3666
"Алексеевка, Самарская область",50.4928,53.2488
"Кулебаки, Нижегородская область",42.5234,55.4204
"Новоалександровск, Ставропольский край",41.2182,45.497
"Кинель, Самарская область",50.6344,53.221
"Лакинск, Владимирская область",39.961,56.0175
"Учалы, Башкортостан",59.4089,54.309
"Тоншаево, Нижегородская область",47.0128,57.7346
"Меленки, Владимирская область",41.6303,55.3365
"Ардатов, Нижегородская область",43.1028,55.2375
"Новокубанск, Краснодарский край",41.0183,45.1117
"Муслюмово, Татарстан",53.1961,55.303
"Пречистое, Ярославская область",40.3106,58.4238
"Тавда, Свердловская область",65.2561,58.0443
"Ессентукская, Ставропольский край",42.8811,44.029
"Платнировская, Краснодарский край",39.3842,45.39
"Байкальск, Иркутская область",104.1324,51.512
"Пласт, Челябинская область",60.8108,54.3721
"Североуральск, Свердловская область",59.9646,60.1553
"Тутаев, Ярославская область",39.5333,57.8676
"Серафимовский, Башкортостан",53.7683,54.4335
"Тюльган, Оренбургская область",56.1582,52.3569
"Красногорский, Челябинская область",61.2434,54.608
"Промышленная, Кемеровская область",85.6467,54.9144
"Хохольский, Воронежская область",38.7872,51.5782
"Буздяк, Башкортостан",54.5214,54.5725
"Парковый, Краснодарский край",40.153,45.8376
"Зерноград, Ростовская область",40.3079,46.849
"Когалым, Ханты-Мансийский АО",74.5447,62.2666
"Малояз, Башкортостан",58.1501,55.175
"Полтавка, Омская область",71.7539,54.3647
"Нижнеудинск, Иркутская область",99.0248,54.9019
"Вязники, Владимирская область",42.1024,56.2398
"Елизаветинская, Краснодарский край",38.8,45.0463
"Красноуфимск, Свердловская область",57.7537,56.6153
"Красноармейск, Саратовская область",45.7118,51.0179
"Черемшан, Татарстан",51.502,54.6597
"Лермонтов, Ставропольский край",42.9684,44.111
"Жигулевск, Самарская область",49.4723,53.3907
"Плотниково, Кемеровская область",85.9483,55.0251
"Чердынь, Пермский край",56.478,60.4053
"Топки, Кемеровская область",85.6144,55.2855
"Супсех, Краснодарский край",37.3557,44.8608
"Новопокровская, Краснодарский край",40.6896,45.9588
"Зауральский, Челябинская область",61.2385,54.7866
"Первомайский, Тульская область",37.5301,54.0428
"Советская, Ставропольский край",44.0431,44.0272
"Куркино, Тульская область",38.6661,53.4406
"Усть-Катав, Челябинская область",58.1646,54.9312
"Бутурлино, Нижегородская область",44.8719,55.5721
"Любинский, Омская область",72.6937,55.1536
"Камышлов, Свердловская область",62.7082,56.8523
"Веселый, Ростовская область",40.7455,47.0915
"Касли, Челябинская область",60.7445,55.8897
"Вача, Нижегородская область",42.7711,55.803
"Аткарск, Саратовская область",45,51.874
"Выселки, Краснодарский край",39.6543,45.579
"Красноярка, Омская область",73.0959,55.3226
"Некрасовское, Ярославская область",40.3591,57.6782
"Линда, Нижегородская область",44.1012,56.6186
"Тугулым, Свердловская область",64.6283,57.0563
"Острогожск, Воронежская область",39.0633,50.8548
"Языково, Башкортостан",55.0129,54.6893
"Чалтырь, Ростовская область",39.4992,47.2845
"Чишмы, Башкортостан",55.376,54.5924
"Сарманово, Татарстан",52.5882,55.2519
"Панино, Воронежская область",40.1312,51.6551
"Майкор, Пермский край",55.8856,58.9998
"Пролетарск, Ростовская область",41.7285,46.7024
"Сухой Лог, Свердловская область",62.0386,56.9116
"Полтавская, Краснодарский край",38.21,45.3681
"Сузун, Новосибирская область",82.3148,53.7842
"Талинка, Ханты-Мансийский АО",66.4509,61.5502
"Мариинск, Кемеровская область",87.7131,56.1936
"Северный, Белгородская область",36.5596,50.6731
"Новоузенск, Саратовская область",48.1403,50.468
"Тимашевск, Краснодарский край",38.9547,45.6093
"Светлоград, Ставропольский край",42.8637,45.3302
"Рудня, Волгоградская область",44.5658,50.8033
"Псебай, Краснодарский край",40.8109,44.1265
"Садовое, Воронежская область",40.4983,51.5413
"Чернянка, Белгородская область",37.8208,50.934
"Аскарово, Башкортостан",58.5109,53.3384
"Колывань, Новосибирская область",82.7365,55.3034
"Шушенское, Красноярский край",91.9335,53.3372
"Кувандык, Оренбургская область",57.3641,51.4795
"Богатые Сабы, Татарстан",50.4422,56.0131
"Новобатайск, Ростовская область",39.7801,46.8947
"Кушва, Свердловская область",59.7776,58.2857
"Сибай, Башкортостан",58.6681,52.7134
"Верещагино, Пермский край",54.6539,58.0704
"Прохоровка, Белгородская область",36.7303,51.037
"Белоярский, Ханты-Мансийский АО",66.6639,63.7065
"Воскресенское, Нижегородская область",45.4287,56.8392
"Спицевка, Ставропольский край",42.5033,45.1169
"Джубга кп, Краснодарский край",38.7016,44.3265
"Междуреченский, Ханты-Мансийский АО",65.9117,59.5946
"Пионерский, Ханты-Мансийский АО",62.8405,61.1996
"Излучинск, Ханты-Мансийский АО",76.8889,60.9528
"Афипский, Краснодарский край",38.8424,44.9056
"Красный Яр, Самарская область",50.3923,53.4978
"Дивногорск, Красноярский край",92.3711,55.9604
"Бреды, Челябинская область",60.3453,52.4128
"Сива, Пермский край",54.3806,58.3801
"Кугульта, Ставропольский край",42.3805,45.3638
"Нововоронеж, Воронежская область",39.22,51.3081
"Переправная, Краснодарский край",40.768,44.3337
"Решетиха, Нижегородская область",43.2909,56.2133
"Старая Станица, Ростовская область",40.2911,48.3442
"Мелиховская, Ростовская область",40.491,47.4777
"Нехаевская, Волгоградская область",41.7652,50.4059
"Белый Яр, Ханты-Мансийский АО",73.2434,61.2651
"Боровский, Тюменская область",65.7111,57.0474
"Алейск, Алтайский край",82.7806,52.4935
"Успенское, Краснодарский край",41.4034,44.8313
"Верхняя Тура, Свердловская область",59.81,58.3635
"Свирск, Иркутская область",103.3369,53.0908
"Лукоянов, Нижегородская область",44.4799,55.0315
"Боргустанская, Ставропольский край",42.5283,44.0544
"Вихоревка, Иркутская область",101.1869,56.1141
"Высокая Гора, Татарстан",49.3074,55.9122
"Давлеканово, Башкортостан",55.0291,54.2162
"Камешково, Владимирская область",41.0002,56.351
"Апастово, Татарстан",48.507,55.2018
"Иглино, Башкортостан",56.3944,54.818
"Ровеньки, Белгородская область",38.8956,49.9222
"Качканар, Свердловская область",59.4929,58.6979
"Новомихайловский кп, Краснодарский край",38.8497,44.2553
"Поворино, Воронежская область",42.2486,51.1954
"Очер, Пермский край",54.7288,57.8721
"Благовещенск, Башкортостан",55.9861,55.0386
"Чик, Новосибирская область",82.4381,54.9939
